gene_id	SRR518892
YDR146C	4.0
YDR147W	2.0
YDR148C	7.0
YDR149C	0.0
YDR150W	7.0
YDR151C	4.0
YDR152W	4.0
YDR153C	5.0
YDR154C	441.32
YDR155C	232.716
YDR156W	23.0
YDR157W	42.0
YDR158W	70.0
YDR159W	0.0
YDR160W	2.0
YDR161W	16.0
YDR162C	3.0
YDR163W	0.0
YDR164C	7.0
YDR165W	4.0
YDR166C	0.0
YDR167W	15.0
YDR168W	11.0
YDR169C	5.0
YDR169C-A	0.0
YDR170C	18.0
YDR171W	8.0
YDR172W	19.0
YDR173C	2.0
YDR174W	67.0
YDR175C	8.0
YDR176W	8.0
YDR177W	7.0
YDR178W	8.0
YDR179C	1.0
YDR179W-A	13.0
YDR180W	5.0
YDR181C	1.0
YDR182W	5.0
YDR182W-A	0.0
YDR183C-A	2.0
YDR183W	6.0
YDR184C	0.0
YDR185C	12.0
YDR186C	0.0
YDR187C	143.452
YDR188W	33.548
YDR189W	10.0
YDR190C	11.0
YDR191W	2.0
YDR192C	1.008
YDR193W	3.992
YDR194C	17.0
YDR194W-A	0.0
YDR195W	12.0
YDR196C	52.0
YDR197W	6.0
YDR198C	5.0
YDR199W	0.0
YDR200C	3.0
YDR201W	4.0
YDR202C	7.0
YDR203W	26.0
YDR204W	6.0
YDR205W	17.0
YDR206W	1.0
YDR207C	0.0
YDR208W	1.0
YDR209C	41.0
YDR210W	0.0
YDR211W	9.0
YDR212W	76.0
YDR213W	1.0
YDR214W	7.0
YDR215C	0.0
YDR216W	2.0
YDR217C	2.0
YDR218C	0.0
YDR219C	2.0
YDR220C	0.0
YDR221W	21.0
YDR222W	7.0
YDR223W	0.0
YDR224C	52.0
YDR225W	108.0
YDR226W	205.0
YDR227W	22.0
YDR228C	0.0
YDR229W	3.0
YDR230W	1.287
YDR231C	3.713
YDR232W	6.0
YDR233C	98.0
YDR234W	10.0
YDR235W	7.0
YDR236C	21.0
YDR237W	6.0
YDR238C	10.0
YDR239C	2.0
YDR240C	2.0
YDR241W	12.0
YDR242W	0.0
YDR243C	1.0
YDR244W	9.0
YDR245W	16.0
YDR246W	1.0
YDR246W-A	0.0
YDR247W	2.0
YDR248C	5.0
YDR249C	1.0
YDR250C	0.0
YDR251W	12.0
YDR252W	2.0
YDR253C	12.0
YDR254W	0.0
YDR255C	2.0
YDR256C	2.0
YDR257C	3.0
YDR258C	0.0
YDR259C	0.0
